texto,intent
fizeram piada racista comigo no jogo online,RACISMO
fizeram piada racista comigo em público,RACISMO
fizeram piada racista comigo no estádio,RACISMO
fizeram piada racista comigo na rua,RACISMO
fizeram piada racista comigo na faculdade,RACISMO
fizeram piada racista comigo num comentário,RACISMO
fizeram piada racista comigo por DM,RACISMO
fizeram piada racista comigo num post,RACISMO
fizeram piada racista comigo num story,RACISMO
fizeram piada racista comigo em live,RACISMO
fizeram piada racista comigo no tiktok,RACISMO
fizeram piada racista comigo num áudio,RACISMO
me compararam com animal por ser negro no insta,RACISMO
me compararam com animal por ser negro no facebook,RACISMO
me compararam com animal por ser negro no trabalho,RACISMO
me compararam com animal por ser negro na escola,RACISMO
me compararam com animal por ser negro no grupo da família,RACISMO
me compararam com animal por ser negro no whatsapp,RACISMO
me compararam com animal por ser negro no zap,RACISMO
me compararam com animal por ser negro no twitter,RACISMO
me compararam com animal por ser negro no jogo online,RACISMO
me compararam com animal por ser negro em público,RACISMO
me compararam com animal por ser negro no estádio,RACISMO
me compararam com animal por ser negro na rua,RACISMO
me compararam com animal por ser negro na faculdade,RACISMO
me compararam com animal por ser negro num comentário,RACISMO
me compararam com animal por ser negro por DM,RACISMO
me compararam com animal por ser negro num post,RACISMO
me compararam com animal por ser negro num story,RACISMO
me compararam com animal por ser negro em live,RACISMO
me compararam com animal por ser negro no tiktok,RACISMO
me compararam com animal por ser negro num áudio,RACISMO




"disseram que vão me bater",AMEACA
"um cara falou que vai me matar",AMEACA
"recebi ameaça de morte por mensagem",AMEACA
"falaram que iam me quebrar na porrada",AMEACA
"prometeram me agredir na saída",AMEACA
"mandaram mensagem me ameaçando",AMEACA
"me ligaram falando que iam me pegar",AMEACA
"me xingaram e falaram que iam me bater",AMEACA
"um vizinho me fez ameaça grave",AMEACA
"ameaçaram machucar minha família",AMEACA
"prometeram acabar com a minha vida",AMEACA
"disseram que iam me dar um tiro",AMEACA
"me ameaçaram com faca",AMEACA
"falaram que iam me caçar até em casa",AMEACA
"mandaram mensagem dizendo que vão me pegar",AMEACA
"um grupo disse que vai me agredir",AMEACA
"ameaçaram jogar pedra na minha casa",AMEACA
"disseram que iam me dar uma surra",AMEACA
"me ameaçaram de morte na internet",AMEACA
"gritaram que iam me quebrar todo",AMEACA
"falaram que eu não ia escapar vivo",AMEACA
"me ameaçaram de agressão física",AMEACA
"disseram que iam destruir minha família",AMEACA
"mandaram recado que iam me matar",AMEACA
"me disseram que eu ia apanhar na escola",AMEACA
"ameaçaram invadir minha casa",AMEACA
"alguém disse que vai me caçar no trabalho",AMEACA
"me avisaram que vão me bater na saída",AMEACA
"me ameaçaram no grupo do whatsapp",AMEACA
"falaram que iam me dar paulada",AMEACA
"disseram q iam me quebrar na porrada",AMEACA
"um cara mandou msg falando q ia me matar",AMEACA
"me ameaçaram de dar tiro",AMEACA
"falaram q iam me arrebentar",AMEACA
"me mandaram áudio dizendo q iam me pegar",AMEACA
"um vizinho disse q ia me bater",AMEACA
"um cara falou q eu ia apanhar feio",AMEACA
"me ameaçaram de quebrar meus ossos",AMEACA
"alguém disse q ia me perseguir até me pegar",AMEACA
"recebi msg de morte",AMEACA
"gritaram q iam me matar na rua",AMEACA
"disseram q iam invadir minha casa",AMEACA
"um cara falou q ia destruir minha família",AMEACA
"mandaram msg falando q iam me esfaquear",AMEACA
"um colega disse q eu ia me arrepender",AMEACA
"falaram q iam me dar surra pesada",AMEACA
"ameaçaram me agredir na saída da escola",AMEACA
"um cara mandou q eu ia morrer logo",AMEACA
"me ameaçaram no zap",AMEACA
"um estranho disse q ia me espancar",AMEACA
"recebi ameaça de agressão",AMEACA
"falaram q eu não passaria dessa semana",AMEACA
"ameaçaram bater na minha família",AMEACA
"um grupo disse q iam me linchar",AMEACA
"disseram q iam me caçar na rua",AMEACA
"me ameaçaram de cortar meu rosto",AMEACA
"falaram q iam jogar pedra em mim",AMEACA
"um cara me ameaçou no facebook",AMEACA
"mandaram msg falando q iam me arrebentar",AMEACA
"um colega disse q ia me socar",AMEACA
"disseram q iam quebrar minha cara",AMEACA
"me ameaçaram de agressão física",AMEACA
"um vizinho disse q eu ia apanhar",AMEACA
"ameaçaram de morte por ligação",AMEACA
"um cara falou q eu ia ser apagado",AMEACA
"me ameaçaram na saída do trabalho",AMEACA
"disseram q iam armar emboscada",AMEACA
"um colega mandou recado de ameaça",AMEACA
"me ameaçaram por mensagem direta",AMEACA
"um cara disse q ia me dar facada",AMEACA
"falaram q iam acabar comigo",AMEACA
"um vizinho falou q ia me matar",AMEACA
"recebi msg de ameaça séria",AMEACA
"um cara me ameaçou pessoalmente",AMEACA
"gritaram q iam me dar uma surra",AMEACA
"me ameaçaram de quebrar tudo em casa",AMEACA
"disseram q eu ia sofrer acidente",AMEACA
"um cara mandou q ia me caçar",AMEACA
"me ameaçaram de agressão pesada",AMEACA
"falaram q iam me matar se denunciasse",AMEACA
disseram que vão me matar na escola,AMEACA
disseram que vão me matar no trabalho,AMEACA
disseram que vão me matar no bairro,AMEACA
disseram que vão me matar no estádio,AMEACA
disseram que vão me matar no bar,AMEACA
disseram que vão me matar no whatsapp,AMEACA
disseram que vão me matar por ligação,AMEACA
disseram que vão me matar por áudio,AMEACA
disseram que vão me matar no insta,AMEACA
disseram que vão me matar no jogo,AMEACA
disseram que vão me matar na rua,AMEACA
disseram que vão me matar na academia,AMEACA
disseram que vão me matar na faculdade,AMEACA
disseram que vão me matar no estacionamento,AMEACA
disseram que vão me matar em casa,AMEACA
disseram que vão me matar no condomínio,AMEACA
disseram que vão me matar no facebook,AMEACA
disseram que vão me matar no grupo do zap,AMEACA
disseram que vão me matar no mercado,AMEACA
disseram que vão me matar no ponto de ônibus,AMEACA
me ameaçaram de morte na escola,AMEACA
me ameaçaram de morte no trabalho,AMEACA
me ameaçaram de morte no bairro,AMEACA
me ameaçaram de morte no estádio,AMEACA
me ameaçaram de morte no bar,AMEACA
me ameaçaram de morte no whatsapp,AMEACA
me ameaçaram de morte por ligação,AMEACA
me ameaçaram de morte por áudio,AMEACA
me ameaçaram de morte no insta,AMEACA
me ameaçaram de morte no jogo,AMEACA
me ameaçaram de morte na rua,AMEACA
me ameaçaram de morte na academia,AMEACA
me ameaçaram de morte na faculdade,AMEACA
me ameaçaram de morte no estacionamento,AMEACA
me ameaçaram de morte em casa,AMEACA
me ameaçaram de morte no condomínio,AMEACA
me ameaçaram de morte no facebook,AMEACA
me ameaçaram de morte no grupo do zap,AMEACA
me ameaçaram de morte no mercado,AMEACA
me ameaçaram de morte no ponto de ônibus,AMEACA
falaram que iam me bater na escola,AMEACA
falaram que iam me bater no trabalho,AMEACA
falaram que iam me bater no bairro,AMEACA
falaram que iam me bater no estádio,AMEACA
falaram que iam me bater no bar,AMEACA
falaram que iam me bater no whatsapp,AMEACA
falaram que iam me bater por ligação,AMEACA
falaram que iam me bater por áudio,AMEACA
falaram que iam me bater no insta,AMEACA
falaram que iam me bater no jogo,AMEACA
falaram que iam me bater na rua,AMEACA
falaram que iam me bater na academia,AMEACA
falaram que iam me bater na faculdade,AMEACA
falaram que iam me bater no estacionamento,AMEACA
falaram que iam me bater em casa,AMEACA
falaram que iam me bater no condomínio,AMEACA
falaram que iam me bater no facebook,AMEACA
falaram que iam me bater no grupo do zap,AMEACA
falaram que iam me bater no mercado,AMEACA
falaram que iam me bater no ponto de ônibus,AMEACA
prometeram me agredir na escola,AMEACA
prometeram me agredir no trabalho,AMEACA
prometeram me agredir no bairro,AMEACA
prometeram me agredir no estádio,AMEACA
prometeram me agredir no bar,AMEACA
prometeram me agredir no whatsapp,AMEACA
prometeram me agredir por ligação,AMEACA
prometeram me agredir por áudio,AMEACA
prometeram me agredir no insta,AMEACA
prometeram me agredir no jogo,AMEACA
prometeram me agredir na rua,AMEACA
prometeram me agredir na academia,AMEACA
prometeram me agredir na faculdade,AMEACA
prometeram me agredir no estacionamento,AMEACA
prometeram me agredir em casa,AMEACA
prometeram me agredir no condomínio,AMEACA
prometeram me agredir no facebook,AMEACA
prometeram me agredir no grupo do zap,AMEACA
prometeram me agredir no mercado,AMEACA
prometeram me agredir no ponto de ônibus,AMEACA
mandaram recado que vão me pegar na escola,AMEACA
mandaram recado que vão me pegar no trabalho,AMEACA
mandaram recado que vão me pegar no bairro,AMEACA
mandaram recado que vão me pegar no estádio,AMEACA
mandaram recado que vão me pegar no bar,AMEACA
mandaram recado que vão me pegar no whatsapp,AMEACA
mandaram recado que vão me pegar por ligação,AMEACA
mandaram recado que vão me pegar por áudio,AMEACA
mandaram recado que vão me pegar no insta,AMEACA
mandaram recado que vão me pegar no jogo,AMEACA
mandaram recado que vão me pegar na rua,AMEACA
mandaram recado que vão me pegar na academia,AMEACA
mandaram recado que vão me pegar na faculdade,AMEACA
mandaram recado que vão me pegar no estacionamento,AMEACA
mandaram recado que vão me pegar em casa,AMEACA
mandaram recado que vão me pegar no condomínio,AMEACA
mandaram recado que vão me pegar no facebook,AMEACA
mandaram recado que vão me pegar no grupo do zap,AMEACA
mandaram recado que vão me pegar no mercado,AMEACA
mandaram recado que vão me pegar no ponto de ônibus,AMEACA

"espalharam mentiras sobre mim",HONRA
"me chamaram de ladrão sem eu ser",HONRA
"postaram difamação sobre mim",HONRA
"falaram calúnia no grupo de whatsapp",HONRA
"me acusaram injustamente",HONRA
"disseram que eu roubei sem provas",HONRA
"estão falando mal da minha reputação",HONRA
"espalharam fake news sobre mim",HONRA
"me chamaram de safado em público",HONRA
"um colega inventou histórias falsas",HONRA
"me chamaram de vagabundo",HONRA
"falaram que sou corno",HONRA
"espalharam fofoca mentirosa sobre mim",HONRA
"me acusaram de ser preguiçoso",HONRA
"me chamaram de inútil no trabalho",HONRA
"disseram que não presto pra nada",HONRA
"me chamaram de safada na rua",HONRA
"postaram mentira sobre mim no facebook",HONRA
"me acusaram de roubo sem provas",HONRA
"espalharam boatos falsos na vizinhança",HONRA
"me chamaram de sem vergonha em público",HONRA
"disseram que eu era desonesto",HONRA
"me acusaram de traição sem eu ter feito nada",HONRA
"falaram que eu era cachaceiro",HONRA
"me chamaram de prostituta",HONRA
"espalharam vídeo falso sobre mim",HONRA
"falaram que eu era mau caráter",HONRA
"me chamaram de burra",HONRA
"me acusaram de ser drogado",HONRA
"falaram mal da minha reputação no trabalho",HONRA
"me chamaram de inútil na frente de todos",HONRA
"um cara me chamou de corno safado",HONRA
"disseram q eu era preguiçoso",HONRA
"me chamaram de burro no trabalho",HONRA
"espalharam fofoca falsa sobre mim",HONRA
"me acusaram de ser vagabundo",HONRA
"me chamaram de sem vergonha",HONRA
"um colega disse q eu era desonesto",HONRA
"me chamaram de cachaceiro",HONRA
"falaram q eu era mal caráter",HONRA
"espalharam boatos na empresa",HONRA
"me chamaram de corna",HONRA
"disseram q eu era prostituta",HONRA
"me acusaram de roubar dinheiro",HONRA
"postaram mentira sobre mim na internet",HONRA
"me chamaram de lixo humano",HONRA
"falaram q eu era sem futuro",HONRA
"espalharam fake news sobre meu nome",HONRA
"me chamaram de fracassado",HONRA
"um colega disse q eu era otário",HONRA
"me chamaram de vagabunda",HONRA
"disseram q eu era traidor",HONRA
"me acusaram sem provas",HONRA
"espalharam calúnia contra mim",HONRA
"falaram q eu não valho nada",HONRA
"me chamaram de mole",HONRA
"um cara falou q eu era frouxo",HONRA
"disseram q eu era golpista",HONRA
"me chamaram de pilantra",HONRA
"espalharam boatos ridículos sobre mim",HONRA
"me chamaram de banana",HONRA
"falaram q eu era bosta",HONRA
"me acusaram de ser desonesto",HONRA
"um colega falou q eu era ignorante",HONRA
"me chamaram de retardado",HONRA
"falaram q eu era covarde",HONRA
"espalharam difamação contra mim",HONRA
"me chamaram de ridículo",HONRA
"um cara disse q eu era sem moral",HONRA
"me chamaram de corno manso",HONRA
"espalharam mentira pesada sobre mim",HONRA
"me chamaram de babaca",HONRA
"falaram q eu era otário",HONRA
"me acusaram de coisa q não fiz",HONRA
"postaram vídeo falso sobre mim",HONRA
"me chamaram de trouxa",HONRA
"um colega disse q eu era sujo",HONRA
"me chamaram de porcaria",HONRA
"falaram q eu era falido",HONRA
"espalharam boato nojento sobre mim",HONRA
me chamaram de vagabunda no grupo da família,HONRA
me chamaram de vagabunda no insta,HONRA
me chamaram de vagabunda no facebook,HONRA
me chamaram de vagabunda no trabalho,HONRA
me chamaram de vagabunda na escola,HONRA
me chamaram de vagabunda na faculdade,HONRA
me chamaram de vagabunda no condomínio,HONRA
me chamaram de vagabunda em público,HONRA
me chamaram de vagabunda no whatsapp,HONRA
me chamaram de vagabunda no zap,HONRA
me chamaram de vagabunda num comentário,HONRA
me chamaram de vagabunda num story,HONRA
me chamaram de vagabunda por áudio,HONRA
me chamaram de vagabunda num post,HONRA
me chamaram de vagabunda no jogo online,HONRA
me chamaram de vagabunda na rua,HONRA
me chamaram de vagabunda na festa,HONRA
me chamaram de vagabunda na igreja,HONRA
me chamaram de vagabunda no mercado,HONRA
me chamaram de vagabunda no bar,HONRA
me chamaram de vadia no grupo da família,HONRA
me chamaram de vadia no insta,HONRA
me chamaram de vadia no facebook,HONRA
me chamaram de vadia no trabalho,HONRA
me chamaram de vadia na escola,HONRA
me chamaram de vadia na faculdade,HONRA
me chamaram de vadia no condomínio,HONRA
me chamaram de vadia em público,HONRA
me chamaram de vadia no whatsapp,HONRA
me chamaram de vadia no zap,HONRA
me chamaram de vadia num comentário,HONRA
me chamaram de vadia num story,HONRA
me chamaram de vadia por áudio,HONRA
me chamaram de vadia num post,HONRA
me chamaram de vadia no jogo online,HONRA
me chamaram de vadia na rua,HONRA
me chamaram de vadia na festa,HONRA
me chamaram de vadia na igreja,HONRA
me chamaram de vadia no mercado,HONRA
me chamaram de vadia no bar,HONRA
me chamaram de pilantra no grupo da família,HONRA
me chamaram de pilantra no insta,HONRA
me chamaram de pilantra no facebook,HONRA
me chamaram de pilantra no trabalho,HONRA
me chamaram de pilantra na escola,HONRA
me chamaram de pilantra na faculdade,HONRA
me chamaram de pilantra no condomínio,HONRA
me chamaram de pilantra em público,HONRA
me chamaram de pilantra no whatsapp,HONRA
me chamaram de pilantra no zap,HONRA
me chamaram de pilantra num comentário,HONRA
me chamaram de pilantra num story,HONRA
me chamaram de pilantra por áudio,HONRA
me chamaram de pilantra num post,HONRA
me chamaram de pilantra no jogo online,HONRA
me chamaram de pilantra na rua,HONRA
me chamaram de pilantra na festa,HONRA
me chamaram de pilantra na igreja,HONRA
me chamaram de pilantra no mercado,HONRA
me chamaram de pilantra no bar,HONRA
espalharam mentira sobre mim no grupo da família,HONRA
espalharam mentira sobre mim no insta,HONRA
espalharam mentira sobre mim no facebook,HONRA
espalharam mentira sobre mim no trabalho,HONRA
espalharam mentira sobre mim na escola,HONRA
espalharam mentira sobre mim na faculdade,HONRA
espalharam mentira sobre mim no condomínio,HONRA
espalharam mentira sobre mim em público,HONRA
espalharam mentira sobre mim no whatsapp,HONRA
espalharam mentira sobre mim no zap,HONRA
espalharam mentira sobre mim num comentário,HONRA
espalharam mentira sobre mim num story,HONRA
espalharam mentira sobre mim por áudio,HONRA
espalharam mentira sobre mim num post,HONRA
espalharam mentira sobre mim no jogo online,HONRA
espalharam mentira sobre mim na rua,HONRA
espalharam mentira sobre mim na festa,HONRA
espalharam mentira sobre mim na igreja,HONRA
espalharam mentira sobre mim no mercado,HONRA
espalharam mentira sobre mim no bar,HONRA
postaram difamação contra mim no grupo da família,HONRA
postaram difamação contra mim no insta,HONRA
postaram difamação contra mim no facebook,HONRA
postaram difamação contra mim no trabalho,HONRA
postaram difamação contra mim na escola,HONRA
postaram difamação contra mim na faculdade,HONRA
postaram difamação contra mim no condomínio,HONRA
postaram difamação contra mim em público,HONRA
postaram difamação contra mim no whatsapp,HONRA
postaram difamação contra mim no zap,HONRA
postaram difamação contra mim num comentário,HONRA
postaram difamação contra mim num story,HONRA
postaram difamação contra mim por áudio,HONRA
postaram difamação contra mim num post,HONRA
postaram difamação contra mim no jogo online,HONRA
postaram difamação contra mim na rua,HONRA
postaram difamação contra mim na festa,HONRA
postaram difamação contra mim na igreja,HONRA
postaram difamação contra mim no mercado,HONRA
postaram difamação contra mim no bar,HONRA


"um cara fica me seguindo todo dia",PERSEGUICAO
"estão me perseguindo no instagram",PERSEGUICAO
"recebo mensagens insistentes de um estranho",PERSEGUICAO
"um homem me persegue até em casa",PERSEGUICAO
"estão me stalkeando nas redes sociais",PERSEGUICAO
"ficam me rondando perto do trabalho",PERSEGUICAO
"me mandam mensagens sem parar",PERSEGUICAO
"um vizinho me segue quando saio",PERSEGUICAO
"me perseguem até a faculdade",PERSEGUICAO
"um ex não para de me procurar",PERSEGUICAO
"um cara me espera todo dia na saída do trabalho",PERSEGUICAO
"ficam me seguindo no metrô",PERSEGUICAO
"me perseguem na rua sempre que saio",PERSEGUICAO
"um estranho aparece em todo lugar que vou",PERSEGUICAO
"alguém fica atrás de mim na faculdade",PERSEGUICAO
"estão stalkeando todas as minhas redes sociais",PERSEGUICAO
"um vizinho fica parado na porta da minha casa",PERSEGUICAO
"um carro me segue quando vou trabalhar",PERSEGUICAO
"me ligam sem parar todos os dias",PERSEGUICAO
"me perseguem no shopping",PERSEGUICAO
"um ex namorado não para de me mandar mensagem",PERSEGUICAO
"alguém fica anotando onde eu vou",PERSEGUICAO
"estão me observando em todo lugar",PERSEGUICAO
"me mandam mensagens insistentes no whatsapp",PERSEGUICAO
"fico recebendo presentes indesejados em casa",PERSEGUICAO
"um homem fica rondando perto do meu prédio",PERSEGUICAO
"me perseguem até quando viajo",PERSEGUICAO
"alguém aparece toda vez que saio de casa",PERSEGUICAO
"um conhecido não respeita meu espaço",PERSEGUICAO
"um colega de classe fica me vigiando",PERSEGUICAO
"um cara fica na porta da minha casa todo dia",PERSEGUICAO
"me perseguem até no mercado",PERSEGUICAO
"um homem aparece em todo lugar q vou",PERSEGUICAO
"um vizinho fica rondando minha rua",PERSEGUICAO
"me seguem até no ônibus",PERSEGUICAO
"um cara me stalkeia no insta",PERSEGUICAO
"um ex fica me perseguindo no zap",PERSEGUICAO
"alguém fica me esperando na saída",PERSEGUICAO
"me perseguem no metrô",PERSEGUICAO
"um carro estranho me segue",PERSEGUICAO
"um cara me ronda na escola",PERSEGUICAO
"me perseguem no shopping",PERSEGUICAO
"um colega fica olhando tudo q faço",PERSEGUICAO
"um cara me segue até em outra cidade",PERSEGUICAO
"alguém me vigia sempre",PERSEGUICAO
"um vizinho fica na minha porta",PERSEGUICAO
"um cara me manda msg todo dia",PERSEGUICAO
"um estranho fica no meu portão",PERSEGUICAO
"um ex namorado me segue",PERSEGUICAO
"um homem aparece na frente do trabalho",PERSEGUICAO
"me perseguem até no mercado",PERSEGUICAO
"um colega me segue na rua",PERSEGUICAO
"me stalkeiam em todas redes",PERSEGUICAO
"um vizinho me vigia",PERSEGUICAO
"um cara fica no meu prédio",PERSEGUICAO
"me perseguem desde a escola",PERSEGUICAO
"um estranho me segue em todo lugar",PERSEGUICAO
"um homem me espera no ponto",PERSEGUICAO
"um colega fica atrás de mim sempre",PERSEGUICAO
"um carro fica rodando minha rua",PERSEGUICAO
"um cara aparece na minha igreja",PERSEGUICAO
"me seguem até academia",PERSEGUICAO
"um homem não para de me ligar",PERSEGUICAO
"me perseguem até no mercado",PERSEGUICAO
"um cara fica no portão de casa",PERSEGUICAO
"um estranho fica olhando pra mim",PERSEGUICAO
"um vizinho me segue sempre",PERSEGUICAO
"um colega aparece em todo canto",PERSEGUICAO
"me perseguem até em outra cidade",PERSEGUICAO
"um cara fica de tocaia",PERSEGUICAO
"me mandam msg sem parar",PERSEGUICAO
"um ex aparece todo dia",PERSEGUICAO
"um estranho fica me rondando",PERSEGUICAO
"um vizinho me segue quando saio",PERSEGUICAO
"um cara fica atrás de mim no trabalho",PERSEGUICAO
"me perseguem na faculdade",PERSEGUICAO
"um estranho aparece na rua sempre",PERSEGUICAO
"um cara fica me stalkeando",PERSEGUICAO
"um homem fica de olho em mim",PERSEGUICAO
um ex não para de me mandar mensagem todo dia,PERSEGUICAO
um ex não para de me mandar mensagem toda semana,PERSEGUICAO
um ex não para de me mandar mensagem de madrugada,PERSEGUICAO
um ex não para de me mandar mensagem de manhã cedo,PERSEGUICAO
um ex não para de me mandar mensagem à noite,PERSEGUICAO
um ex não para de me mandar mensagem no metrô,PERSEGUICAO
um ex não para de me mandar mensagem no ônibus,PERSEGUICAO
um ex não para de me mandar mensagem no mercado,PERSEGUICAO
um ex não para de me mandar mensagem na academia,PERSEGUICAO
um ex não para de me mandar mensagem na igreja,PERSEGUICAO
um ex não para de me mandar mensagem no shopping,PERSEGUICAO
um ex não para de me mandar mensagem na faculdade,PERSEGUICAO
um ex não para de me mandar mensagem na escola,PERSEGUICAO
um ex não para de me mandar mensagem no trabalho,PERSEGUICAO
um ex não para de me mandar mensagem na rua,PERSEGUICAO
um ex não para de me mandar mensagem no estacionamento,PERSEGUICAO
um ex não para de me mandar mensagem no parque,PERSEGUICAO
um ex não para de me mandar mensagem na praça,PERSEGUICAO
um ex não para de me mandar mensagem no condomínio,PERSEGUICAO
um ex não para de me mandar mensagem no prédio,PERSEGUICAO
um homem fica me seguindo todo dia,PERSEGUICAO
um homem fica me seguindo toda semana,PERSEGUICAO
um homem fica me seguindo de madrugada,PERSEGUICAO
um homem fica me seguindo de manhã cedo,PERSEGUICAO
um homem fica me seguindo à noite,PERSEGUICAO
um homem fica me seguindo no metrô,PERSEGUICAO
